Gene,Half_life
YAL025C,7.65568974934613
YAL041W,6.311052219705929
YAL043C,6.775449508815766
YAL058W,7.612465464567109
YAR018C,6.015324593227804
YBL003C,4.084742528094805
YBL011W,7.461126386360699
YBL015W,6.766758075255948
YBL016W,5.334894730328885
YBL035C,5.97524776408316
YBL039C,5.983286150759862
YBL042C,3.3728346114140146
YBL063W,2.9232772979032617
YBL080C,6.170076337968044
YBL081W,6.174296800067371
YBL093C,6.9871771718996945
YBL108W,5.557212004922275
YBL111C,1.0891347296324354
YBL112C,3.328618825483001
YBL113C,1.6356402295766248
YBR002C,6.2318076967286045
YBR004C,7.125372174873952
YBR009C,5.280822204983599
YBR010W,4.945667437400762
YBR015C,7.416719988451323
YBR028C,6.944205874404518
YBR031W,5.901097565712691
YBR034C,5.545464725751342
YBR041W,5.0922982601454025
YBR042C,7.791798024580492
YBR043C,7.799035729834385
YBR055C,7.740434755622376
YBR060C,6.0161095396450674
YBR092C,5.432080870784938
YBR094W,7.666033021284107
YBR104W,6.112930417781096
YBR123C,5.996934321742886
YBR136W,3.7632395994364574
YBR142W,5.5682641473130206
YBR143C,5.855160287488006
YBR146W,7.00156548618635
YBR152W,7.191020425291717
YBR153W,7.437678359460387
YBR154C,3.949968630595836
YBR155W,6.3993518394684825
YBR158W,3.7970903785556285
YBR172C,5.604354775603376
YBR200W,4.728989974351959
YBR202W,4.326281001478579
YBR215W,6.147451073206237
YBR224W,2.5724817893069676
YBR231C,6.4882259992327125
YBR233W,4.162774198305676
YBR235W,7.819761667859404
YBR239C,5.779204906022593
YBR243C,7.704983814889565
YBR247C,5.358817484143385
YBR254C,5.125622568095085
YBR257W,4.521909560889261
YBR260C,7.538742881140981
YBR265W,6.396842062572944
YBR266C,3.341489098185289
YBR267W,5.127362547445558
YBR278W,7.128334633522059
YBR291C,6.539231848206597
YBR301W,0.8385575272526662
YCL005W,5.186568497740932
YCL016C,5.969009289268618
YCL022C,5.477975198663818
YCL024W,3.3889406235998223
YCL025C,3.066643311590011
YCL031C,7.118293417962569
YCL066W,7.396436075053247
YCL068C,7.444281241729289
YCL069W,1.8990373625035772
YCR040W,5.901710066672715
YCR046C,4.624029370584968
YCR047C,7.092133681264791
YCR051W,6.788450974491002
YCR054C,4.241134853068772
YCR057C,7.103222149042696
YCR059C,6.719571667007298
YCR061W,7.764606657006808
YCR065W,4.609108241490292
YCR092C,7.106069160842756
YCR094W,7.669505987795798
YCR102C,6.566380991882178
YCR106W,7.844291391859651
YDL013W,7.771508531438521
YDL014W,5.229200047546186
YDL017W,5.544879784153344
YDL031W,7.391596853636527
YDL040C,7.820916419050875
YDL047W,7.842148705332203
YDL059C,3.701152921116197
YDL060W,7.163700630934778
YDL070W,4.285479126166297
YDL074C,5.377809980336086
YDL090C,6.387206142096799
YDL097C,7.479525633372173
YDL111C,6.199812264638798
YDL122W,7.587401932580151
YDL131W,3.017604249629281
YDL155W,6.650903002752152
YDL167C,5.159620878435564
YDL178W,5.685191443871927
YDL197C,5.483921109361376
YDL201W,6.730478204565738
YDL206W,7.267007420654643
YDL207W,4.77557499921339
YDL208W,5.100544836491702
YDL211C,4.3222743129575765
YDL213C,6.471760688880407
YDL225W,4.98414777475679
YDL240W,3.9993654541587405
YDR004W,3.3595378151674584
YDR012W,6.851874286361027
YDR044W,6.632079527872495
YDR046C,3.568277604958888
YDR049W,6.466245779952365
YDR056C,7.3652359160631065
YDR060W,7.752592080743852
YDR062W,6.505073752542187
YDR073W,7.044519970784988
YDR076W,2.7435543673438962
YDR097C,6.508997992618424
YDR113C,5.449919297375812
YDR121W,7.60352809211821
YDR147W,7.559969085639505
YDR156W,4.827960067186643
YDR161W,7.003755534916955
YDR165W,6.817295636227831
YDR167W,6.61182699345022
YDR175C,7.00399783204534
YDR188W,5.84365236519717
YDR192C,6.8655375630341835
YDR197W,6.021094539715089
YDR207C,7.650399044492774
YDR211W,6.651461906586691
YDR213W,7.379597171870506
YDR224C,6.049178541469823
YDR225W,4.421881551814952
YDR229W,7.6814269795482755
YDR232W,7.31338096187253
YDR233C,6.192818769593552
YDR243C,4.461985310404056
YDR267C,6.262320942425023
YDR278C,2.553575962070677
YDR280W,3.5185748543625834
YDR299W,7.678284696258125
YDR309C,7.841414990422353
YDR312W,7.263748803381108
YDR324C,2.2620603923616085
YDR338C,5.284546038822508
YDR346C,7.538270598484153
YDR348C,6.973355263468333
YDR354W,7.025709752110326
YDR361C,6.326060064001025
YDR362C,4.657975681352651
YDR365C,7.192147966729418
YDR386W,4.888249445208429
YDR390C,5.489973338096157
YDR392W,6.160717978168605
YDR398W,6.7103395268467665
YDR399W,4.107290552135204
YDR404C,5.690115173022512
YDR405W,6.8180480545918245
YDR413C,5.751296049318118
YDR426C,6.772324297451095
YDR429C,5.789143100818466
YDR434W,6.776125868000479
YDR440W,7.819470694222129
YDR449C,5.877582111201863
YDR463W,6.581418976912966
YDR492W,7.817012256686784
YDR494W,6.422462881508632
YDR496C,5.497859425611073
YDR498C,7.6460031959276815
YDR508C,7.636922922632263
YDR542W,6.44207971413855
YDR543C,0.693147180559965
YDR544C,6.7431526453699595
YEL032W,6.573048636800544
YEL037C,6.693918755621817
YEL039C,6.455375091240265
YEL074W,7.115492992280323
YEL075C,1.0521644065498272
YEL076C,1.8336234397284725
YEL076C-A,1.2687654318507597
YEL076W-C,1.442024096348624
YEL077C,4.141219190893307
YER017C,7.139562157690364
YER019W,4.684656897132712
YER028C,4.993621201607159
YER029C,5.21467738586531
YER047C,7.686648168018946
YER058W,3.040371062789363
YER070W,7.158806337900451
YER072W,2.076140906371765
YER073W,5.07385859374089
YER081W,7.204725232992112
YER084W,4.212687466322404
YER087W,5.1158260823184705
YER107C,7.799948362320828
YER112W,4.348551751482935
YER126C,7.563879321283022
YER127W,7.864113833974536
YER156C,5.822665569496712
YER159C,5.822629446643159
YER171W,7.254367558116492
YER189W,1.342254673742
YER190W,1.8763915360772287
YFL023W,3.520676754000607
YFL025C,5.5426225333212935
YFL061W,2.30950667900976
YFL063W,0.986384364139049
YFL064C,1.1947416329589378
YFL065C,0.8735640529976372
YFL066C,1.32928634972963
YFL067W,1.601103899817836
YFL068W,5.927355190612776
YFR027W,5.808410189699052
YFR033C,5.3557102882568834
YFR034C,3.999859329021607
YFR037C,6.49165417152478
YFR039C,6.399253467362317
YFR050C,6.560775746441571
YGL028C,5.356153122243763
YGL044C,7.209888189899632
YGL049C,7.2128172189470865
YGL071W,6.2790580629931325
YGL072C,5.016384544981597
YGL078C,5.310826303988218
YGL083W,6.050381755928374
YGL099W,7.788898604664482
YGL100W,7.599099454469981
YGL112C,6.5618366927908385
YGL114W,4.53855390729571
YGL129C,6.901547493538008
YGL155W,5.799008130216283
YGL210W,7.181470676783349
YGL212W,4.644524239394959
YGL216W,3.307342595597374
YGL241W,5.740523549369101
YGL261C,2.7902282056755285
YGR005C,7.442445575440524
YGR006W,5.8744195513858966
YGR013W,4.778771615003779
YGR021W,2.9232772979032617
YGR040W,3.7796692387064303
YGR047C,6.963144005210641
YGR056W,7.882806770084054
YGR064W,7.861422160677268
YGR068C,6.679780169480047
YGR071C,6.7008351455947945
YGR074W,4.984542690385928
YGR075C,4.902393036682889
YGR076C,4.820625174141724
YGR077C,7.349168366053071
YGR078C,6.602176101666112
YGR079W,6.820747544950707
YGR080W,4.8485613536892815
YGR083C,4.966312761278882
YGR085C,7.781805155686438
YGR092W,6.554125065479512
YGR096W,5.766004503513228
YGR103W,6.80987562623208
YGR108W,5.244164682082573
YGR119C,4.720282134212791
YGR128C,6.918437825525279
YGR143W,4.565438555042706
YGR159C,6.143396317966991
YGR160W,7.054867129292086
YGR162W,6.397621504790525
YGR189C,7.211436255608062
YGR221C,2.9009590140591075
YGR275W,6.714991862519234
YHL004W,4.686218860931094
YHL013C,6.899080670734466
YHL020C,6.697085770392795
YHL038C,6.363339877061275
YHL049C,0.6931471806357606
YHL050C,2.3614547901997684
YHR045W,6.32812433743075
YHR054C,1.2289029112593504
YHR058C,7.4540795126546335
YHR069C,6.359354136102798
YHR084W,4.979662176079559
YHR089C,6.946472810442233
YHR104W,6.2591820187790415
YHR125W,4.440708181672594
YHR135C,7.6526149680463025
YHR143W,5.408509411856881
YHR143W-A,7.708576101011863
YHR144C,6.153607429781163
YHR149C,5.173823353603903
YHR170W,5.1813045703669856
YHR196W,7.621528023883404
YHR214W,4.101852196750009
YHR217C,2.5349571020304573
YHR218W,0.6931471805599455
YHR219W,1.1203752745853301
YIL002C,6.3625696532504445
YIL005W,7.599286114104787
YIL015W,2.1399512654526434
YIL061C,5.784468914622138
YIL064W,7.413909114065177
YIL079C,6.498001965696766
YIL100W,2.276692764138619
YIL106W,3.709720556206331
YIL142W,7.183007266951623
YIL158W,6.723795527862471
YIL170W,5.6566303756709395
YIL176C,3.0109251942961195
YIL177C,3.834641201446243
YIR008C,6.968818636112294
YJL054W,7.301883662789147
YJL081C,7.656655764707168
YJL083W,7.700947347821763
YJL110C,5.389255555295821
YJL122W,6.031817495030348
YJL124C,7.137907480096217
YJL143W,7.197894296721552
YJL160C,7.490692044244108
YJL176C,7.827022873943473
YJL178C,7.179575572095431
YJL180C,6.228779463842652
YJL194W,4.18085714643678
YJL212C,5.118732692036996
YJL219W,7.23242890357975
YJL223C,1.3316926913576312
YJL225C,3.1047472149284117
YJR001W,5.621280907611762
YJR002W,7.275020483766153
YJR076C,6.318983790269272
YJR147W,6.393934521480128
YJR160C,3.179360233492973
YKL009W,7.748791842742357
YKL032C,6.978475478245091
YKL034W,7.821203366274728
YKL068W,7.0247321599144925
YKL074C,6.795985091206168
YKL079W,7.582785479678951
YKL082C,6.500638503863558
YKL112W,3.0967379495301834
YKL113C,5.471026903432194
YKL122C,7.84793002087451
YKL154W,4.0016640748831245
YKL156W,4.563957053166925
YKL172W,6.8825719817047375
YKL177W,6.868532751636337
YKL196C,6.690788483519619
YKL223W,1.7837779061628012
YKL224C,6.292574742179462
YKL225W,6.008748985944741
YKR013W,7.502954543726069
YKR024C,7.158747444257338
YKR035C,7.503691936981885
YKR037C,6.443991015298371
YKR056W,6.442496152860141
YKR085C,6.507775785025727
YKR105C,5.436640134380221
YLL008W,7.006124696895303
YLL025W,5.0483197096711105
YLL027W,7.420820817258363
YLL065W,1.0191386362456065
YLL066C,1.462240173460262
YLL067C,1.5361559559297755
YLR009W,7.391156036418987
YLR019W,7.8724472901038745
YLR022C,7.687213860145125
YLR026C,6.150212874384552
YLR040C,5.932192213893195
YLR042C,4.139689776060487
YLR054C,5.123179562476836
YLR055C,7.315259364850313
YLR059C,7.038353544653392
YLR067C,4.388999712902615
YLR079W,6.508664272272677
YLR103C,7.718539614497921
YLR105C,7.313775989515294
YLR115W,7.050825629497275
YLR129W,5.563988052889187
YLR148W,3.579446414680577
YLR158C,4.923917680053619
YLR160C,6.154369230667744
YLR175W,4.987840555652938
YLR197W,4.470424324305929
YLR210W,7.263285024503529
YLR268W,7.370993939514145
YLR274W,6.25870769584105
YLR276C,7.805998004360559
YLR288C,2.313753029474405
YLR300W,6.5295201231499815
YLR319C,5.341385721953008
YLR327C,5.527840254299264
YLR330W,7.629528182994963
YLR332W,5.815534548384307
YLR343W,2.7285526130581843
YLR357W,6.053287748741767
YLR380W,5.309301706547545
YLR382C,7.533419922020375
YLR399C,5.213031644651158
YLR401C,5.161786977460365
YLR409C,7.676344094492152
YLR413W,4.027463078156971
YLR440C,4.468427482458749
YLR462W,1.8129086713548732
YLR463C,1.2798192527285563
YLR464W,1.7977652124013968
YLR465C,1.5814698478759441
YLR466W,5.14268487745953
YLR467W,1.6963671366084945
YML030W,7.001865904338658
YML031W,7.005691098176501
YML043C,7.880061792962675
YML052W,7.658087640156563
YML083C,6.749886964611381
YML093W,5.739788149162552
YML099C,4.499910329004154
YML102W,5.396024860456985
YML108W,6.009899614076086
YML110C,6.840026754108784
YML115C,6.814213955627738
YML118W,2.17670474115387
YML133C,6.087091856227337
YMR009W,3.002541023260294
YMR013C,7.115246046552318
YMR016C,6.944796898665911
YMR017W,3.7483718767894754
YMR024W,5.903635990010093
YMR025W,5.31045570250593
YMR030W,4.6332999472880205
YMR034C,6.377722639996487
YMR035W,3.953045963245866
YMR046C,7.784288225927941
YMR055C,7.425095603179635
YMR056C,5.858348541812095
YMR065W,4.85572942034003
YMR080C,6.859078538781581
YMR093W,7.850180013118813
YMR102C,6.847720209774788
YMR116C,5.442222947312235
YMR123W,7.3747604880395
YMR125W,7.416396502182164
YMR146C,7.198908526869429
YMR167W,5.565254284107089
YMR172W,7.332729919412194
YMR179W,5.317994399744651
YMR198W,7.7906473322416865
YMR199W,7.549995409272567
YMR214W,7.499381340836344
YMR227C,6.6605858076154325
YMR234W,2.358519952080996
YMR270C,6.633181369044196
YMR272C,7.41576982301208
YMR275C,5.924251766554361
YMR277W,5.527391635095036
YMR282C,7.107731777678656
YMR285C,5.634730524484884
YMR288W,7.581058642842411
YMR290C,7.089437359466368
YMR296C,7.403902868305888
YMR300C,7.252322537882425
YNL021W,6.883156326068494
YNL030W,4.400504785826924
YNL031C,6.551197379884191
YNL066W,6.183500176876638
YNL068C,5.115857656192936
YNL075W,7.704851281600494
YNL094W,7.447824578998017
YNL095C,7.854004667465129
YNL113W,7.3688835924115645
YNL124W,6.243713637118237
YNL151C,6.843608758732953
YNL153C,7.610034242240039
YNL154C,7.338503082606416
YNL165W,4.8772080462509075
YNL174W,4.368205036992534
YNL175C,3.2688008549887484
YNL179C,5.327878327765305
YNL183C,3.579940416808463
YNL185C,4.657879063699753
YNL186W,6.812677692895406
YNL188W,2.695926928404252
YNL194C,3.793502087679758
YNL199C,5.678509398804097
YNL201C,6.941564213625732
YNL206C,7.428038404040075
YNL210W,4.68751626561946
YNL215W,6.983376666616013
YNL224C,7.717535297272798
YNL227C,7.26144445313042
YNL229C,6.090361703999063
YNL231C,5.635471543032375
YNL232W,5.308361002208696
YNL248C,5.607491858661013
YNL256W,6.259507775575512
YNL267W,6.934660604767
YNL282W,6.441988984570842
YNL283C,6.640915134220469
YNL288W,7.841131221445588
YNL291C,6.367332405299604
YNL306W,5.31490067505335
YNL308C,6.92270593896067
YNL309W,3.5126071407581385
YNL317W,4.631792330559142
YNL325C,5.314152641857172
YNL327W,4.7619241890194095
YNL329C,5.298372254409595
YNL330C,7.77238274006073
YNL333W,6.694070069345124
YNR009W,7.837613461679958
YNR011C,6.932977188345174
YNR017W,6.508036893940696
YNR023W,7.563505737224867
YNR038W,7.8544232981643445
YNR046W,6.638631022814097
YNR047W,5.96918048757477
YNR052C,7.7657643438753885
YNR053C,4.844317478937321
YNR054C,6.4053859857190485
YNR067C,5.642770676574869
YNR077C,1.5991241829171678
YOL018C,5.187823620640069
YOL019W,4.974057374864619
YOL021C,7.149319332708961
YOL032W,5.205429779885449
YOL034W,4.425880730512664
YOL042W,2.902492935834184
YOL056W,7.189483419910442
YOL062C,7.641481505668087
YOL067C,3.9798099715533413
YOL069W,5.2877816377109825
YOL070C,7.506599784903427
YOL124C,6.649812231272172
YOL125W,6.738525752378431
YOL126C,5.327116613269971
YOL127W,3.403490029678257
YOL130W,6.842236075486821
YOL139C,7.561657272540091
YOL148C,7.01397934518657
YOR001W,7.882789260178881
YOR026W,6.166691087004491
YOR039W,7.642496217488029
YOR045W,7.820751970258919
YOR056C,6.861750644038945
YOR058C,7.857099482860078
YOR063W,6.892467937238775
YOR087W,7.725244804170364
YOR091W,5.883755291750968
YOR106W,4.7091689857541015
YOR110W,5.172171180993823
YOR145C,4.342415704205046
YOR149C,7.530624193220244
YOR167C,6.552558933024624
YOR201C,6.064953378579921
YOR212W,6.738892877918747
YOR214C,5.186322819873663
YOR240W,7.022099234669578
YOR243C,7.311669199884194
YOR274W,7.861581253497009
YOR294W,5.517799939852401
YOR304C-A,7.490943642092046
YOR310C,4.62587022115206
YOR327C,7.325999061441125
YOR340C,6.045352735805224
YOR370C,6.77599469806405
YPL013C,6.134690205454305
YPL015C,5.457723907163844
YPL022W,5.104550343090868
YPL029W,4.92293923295457
YPL042C,1.8756552240955888
YPL043W,3.8011781525924957
YPL044C,5.077843974851642
YPL050C,4.907501285022319
YPL053C,7.322364992305946
YPL081W,6.128474571842533
YPL086C,6.260366020070989
YPL124W,6.545142062504235
YPL128C,7.447747869394535
YPL141C,5.934315000469229
YPL146C,7.736675711147809
YPL155C,5.6123050385609545
YPL167C,6.26826582386889
YPL183C,7.384422032761941
YPL187W,5.353406675797824
YPL204W,6.639498660616732
YPL227C,7.682640505553329
YPL244C,5.848305103166151
YPL252C,7.721727803936095
YPL255W,5.791468997493743
YPL256C,3.7265875440457084
YPL267W,7.320375774616614
YPL269W,6.32754486110423
YPR010C,7.086764283478591
YPR034W,5.865202315536111
YPR041W,5.7218318694541095
YPR051W,7.3535237228581805
YPR110C,7.377689427159143
YPR112C,7.882889130108927
YPR119W,2.2231867571820496
YPR120C,4.538430008716219
YPR125W,6.313689698219704
YPR130C,7.65508931138131
YPR137W,5.514186360013565
YPR138C,7.526700690897117
YPR144C,7.304879199021473
YPR155C,5.954828028497998
YPR162C,4.039546192508921
YPR163C,7.578681486753105
YPR175W,7.523289203183185
YPR178W,4.689028201042636
YPR187W,4.286532452670671
YPR190C,5.8800174987047615
YPR202W,0.6931471805599472
YPR203W,2.7776437334620803
YPR204W,1.376810952363081
